hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 2522.07, -0.00475684, 2522.11, -120.004, 2522.12, 119.995, 124.862, 7.59589, 105.454, -99.5067, 130.559, 141.42
2, 0.00000, 2522.08, -0.00457219, 2522.12, -120.004, 2522.13, 119.995, 118.326, 10.2369, 101.08, -96.4365, 126.151, 144.782
3, 0.00000, 2522.09, -0.00432235, 2522.13, -120.004, 2522.14, 119.995, 109.861, 13.6104, 95.8282, -92.6643, 122.248, 149.072
4, 0.00000, 2522.1, -0.00419016, 2522.14, -120.004, 2522.15, 119.995, 105.599, 16.4706, 93.1273, -89.7164, 118.896, 152.364
5, 0.00000, 2522.11, -0.00408771, 2522.15, -120.003, 2522.16, 119.995, 102.853, 18.4138, 90.9503, -86.8006, 116.995, 154.439
6, 0.00000, 2522.1, -0.00416631, 2522.14, -120.004, 2522.15, 119.995, 105.18, 15.0727, 92.4517, -89.9473, 121.738, 150.849
7, 0.00000, 2522.07, -0.00460276, 2522.12, -120.004, 2522.12, 119.995, 121.908, 7.69179, 100.25, -95.68, 130.019, 141.282
8, 0.00000, 2522.04, -0.00495995, 2522.1, -120.004, 2522.09, 119.994, 138.411, 1.75398, 106.427, -100.508, 139.414, 133.066
9, 0.00000, 2522, -0.00529962, 2522.09, -120.004, 2522.05, 119.994, 159.573, -3.26311, 109.412, -101.657, 149.125, 123.428
10, 0.00000, 2521.98, -0.00548567, 2522.06, -120.005, 2522.03, 119.994, 166.706, -6.44705, 120.072, -110.753, 158.264, 120.779
11, 0.00000, 2522, -0.00503597, 2522.08, -120.004, 2522.05, 119.994, 151.624, -5.24322, 106.426, -106.308, 147.667, 123.588
12, 0.00000, 2521.94, -0.00565723, 2522.04, -120.005, 2521.99, 119.993, 182.783, -11.4783, 125.119, -115.064, 180.552, 115.386
